result,win_method,pkmn_left,opp_pkmn_left,player_elo,opp_elo,turns,date
0,00,0,2,1000,1108,18,11_18_23
1,10,1,0,1000,1156,21,11_18_23
1,11,6,5,1057,1000,3,11_18_23
1,11,6,5,1083,1104,4,11_18_23
0,00,0,2,1112,1032,20,11_18_23
0,00,0,1,1081,1161,19,11_18_23
1,11,6,6,1064,1000,2,11_18_23
0,00,0,1,1089,1000,17,11_18_23
0,00,0,5,1060,1048,22,11_18_23
0,00,0,2,1040,1077,16,12_07_23
1,10,1,0,1026,1000,16,12_07_23
0,00,0,3,1059,1243,25,12_07_23
0,00,0,3,1049,1043,20,12_07_23
0,00,0,4,1031,1111,19,12_07_23
0,00,0,6,1020,1093,8,12_07_23