result,win_method,pkmn_left,opp_pkmn_left,player_elo,opp_elo,turns,battle_id,date
0,00,0,3,1000,1095,19,1991805665,11_15_23
1,11,6,6,1000,1091,5,1991806564,11_15_23
0,00,0,3,1050,1009,33,1991806932,11_15_23
0,00,0,4,1030,1166,24,1991808497,11_15_23
0,00,0,3,1021,1000,24,1991809913,11_15_23
1,12,6,6,1007,1183,0,1991812091,11_16_23
0,00,0,5,1064,1075,32,1991812980,11_16_23
0,00,0,4,1045,1000,31,1991814419,11_16_23
0,00,0,5,1026,1113,24,1991815653,11_16_23
0,00,0,4,1016,1089,22,1991816648,11_16_23
0,00,0,4,1006,1015,21,1992215377,11_16_23
0,00,0,6,1000,1166,30,1992218931,11_16_23
0,00,0,5,1000,1096,24,1992221751,11_16_23
0,00,0,5,1000,1047,15,1992224682,11_16_23
0,00,0,3,1000,1000,21,1992225295,11_16_23